date,geography,geography code,Ethnic group: Total: All usual residents,"Ethnic group: Asian, Asian British or Asian Welsh","Ethnic group: Asian, Asian British or Asian Welsh: Bangladeshi","Ethnic group: Asian, Asian British or Asian Welsh: Chinese","Ethnic group: Asian, Asian British or Asian Welsh: Indian","Ethnic group: Asian, Asian British or Asian Welsh: Pakistani","Ethnic group: Asian, Asian British or Asian Welsh: Other Asian","Ethnic group: Black, Black British, Black Welsh, Caribbean or African","Ethnic group: Black, Black British, Black Welsh, Caribbean or African: African","Ethnic group: Black, Black British, Black Welsh, Caribbean or African: Caribbean","Ethnic group: Black, Black British, Black Welsh, Caribbean or African: Other Black",Ethnic group: Mixed or Multiple ethnic groups,Ethnic group: Mixed or Multiple ethnic groups: White and Asian,Ethnic group: Mixed or Multiple ethnic groups: White and Black African,Ethnic group: Mixed or Multiple ethnic groups: White and Black Caribbean,Ethnic group: Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,Ethnic group: White,"Ethnic group: White: English, Welsh, Scottish, Northern Irish or British",Ethnic group: White: Irish,Ethnic group: White: Gypsy or Irish Traveller,Ethnic group: White: Roma,Ethnic group: White: Other White,Ethnic group: Other ethnic group,Ethnic group: Other ethnic group: Arab,Ethnic group: Other ethnic group: Any other ethnic group
2021,South Gloucestershire,E06000025,290424,11094,581,2113,4867,1352,2181,4534,2787,1219,528,7289,1953,905,2711,1720,264856,249160,1327,443,373,13553,2651,751,1900
2021,Plymouth,E06000026,264695,5947,537,1430,1403,389,2188,2786,2022,460,304,4656,1349,860,1108,1339,248727,236802,1055,165,168,10537,2579,677,1902
2021,Torbay,E06000027,139324,2254,129,435,527,162,1001,447,264,135,48,2084,679,288,581,536,133922,128375,714,41,78,4714,617,136,481
2021,Swindon,E06000030,233411,27173,1403,1156,17643,2025,4946,6123,4149,1044,930,6495,1694,1051,1972,1778,190142,173231,1545,177,537,14652,3478,344,3134
2021,Peterborough,E06000031,215670,30801,442,990,7169,16972,5228,8751,6225,1419,1107,7617,2021,1627,1990,1979,162581,128353,1177,551,938,31562,5920,897,5023
2021,Luton,E06000032,225261,83325,20630,901,12096,41143,8555,22735,11774,8216,2745,9620,2429,1268,3486,2437,101798,71532,4570,238,808,24650,7783,2106,5677
2021,Southend-on-Sea,E06000033,180685,9864,1615,1170,2828,1765,2486,5153,3590,839,724,5553,1527,1045,1580,1401,158079,147442,1569,106,241,8721,2036,402,1634
2021,Thurrock,E06000034,175993,12205,2502,997,3982,2145,2579,20877,16171,2174,2532,5252,1099,1115,1693,1345,134984,116430,993,428,322,16811,2675,369,2306
2021,Medway,E06000035,279773,16484,1962,1273,7693,2125,3431,15723,11266,2552,1905,7859,2158,1394,2425,1882,235747,218953,1866,749,469,13710,3960,452,3508
2021,Bracknell Forest,E06000036,124605,8879,219,828,3774,947,3111,2993,2072,554,367,3843,1337,565,970,971,107269,96950,1038,161,164,8956,1621,310,1311
2021,West Berkshire,E06000037,161447,5990,398,801,3087,658,1046,2030,1095,627,308,3857,1274,501,1054,1028,148384,138253,1404,190,158,8379,1186,279,907
2021,Reading,E06000038,174223,30841,1132,2694,10777,8279,7959,12532,7665,3293,1574,8962,2117,1249,3555,2041,116886,93167,2040,107,573,20999,5002,1282,3720
